key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-185168369,Polystyrene microplastics induce metabolic disturbances in marine medaka (Oryzias melastigmas) liver,2021,1,1,Science of the Total Environment,,782,,,"Ye, G. and Zhang, X. and Liu, X. and Liao, X. and Zhang, H. and Yan, C. and Lin, Y. and Huang, Q.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104053756&doi=10.1016%2fj.scitotenv.2021.146885&partnerID=40&md5=d4ff001e2811aa484e1d82ffa82f7b17,,,,"Microplastics are toxic to aquatic organisms. Metabolic disturbances in the liver are highly correlated with the pathophysiology of diseases and toxicology of contaminants. However, the effects of microplastics on the comprehensive metabolic responses of aquatic animal livers are unclear. Therefore, an untargeted metabolomics approach using gas chromatographyâ€“mass spectrometry was employed to discover metabolic disorders in marine medaka (Oryzias melastigmas) liver after microplastic exposure. We found that 83 metabolites were significantly altered in marine medaka liver after 10-Î¼m and/or 200-Î¼m polystyrene microplastic (PS) exposure. Subsequent metabolic pathway analysis revealed that 33 and 28 metabolic pathways, such as glycerolipid metabolism, biosynthesis of unsaturated fatty acids, glycolysis/gluconeogenesis, fructose and mannose metabolism, and glycine, serine and threonine metabolism, were significantly altered after 10-Î¼m (PS-10) and 200-Î¼m (PS-200) PS exposure, respectively. Most monosaccharides (e.g., glucose, mannose, and ribose), organic acids (e.g., lactate, fumarate, and malate) and amino acids (e.g., alanine, serine, and leucine) significantly decreased, while most fatty acids and fatty acid methyl and ethyl esters significantly increased in marine medaka liver due to PS-10 and/or PS-200 exposure. The results indicated that PS exposure triggered inhibition of the monosaccharide metabolism, tricarboxylic acid cycle, glycolysis, pentose phosphate pathway, and amino acid metabolism, and accumulation of fatty acids, fatty acid methyl and ethyl esters in marine medaka liver. The varying influences of PS-10 and PS-200 on hepatic metabolism were observed. Changes in the carbohydrate, amino acid, and lipid metabolism induced by PS-10 were greater than those induced by PS-200. However, PS-200 induced the hepatic accumulation of most disaccharides and trisaccharides, including lactose, maltose, mannobiose and maltotriose, while PS-10 did not. The increased toxicity caused by PS-10 than that by PS-200 may be associated with the hepatic accumulation observed only in the group exposed to PS-10. This study provides novel insights into microplastic ecotoxicology. Â© 2021 Elsevier B.V.","Export Date: 13 June 2021 RAYYAN-INCLUSION: {""Querusche""=>""Maybe"", ""Angelo""=>""Maybe""}",,
rayyan-185168370,A simple technique to mitigate microplastic pollution and its mobility (via ballast water) in the global ocean,2021,1,1,Environmental Pollution,,283,,,"Naik, R.K. and Chakraborty, P. and D'Costa, P.M. and N, A. and Mishra, R.K. and Fernandes, V.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104121717&doi=10.1016%2fj.envpol.2021.117070&partnerID=40&md5=4745391a6a0a217486a633949083f3d4,,,,"Ballast water transport is considered as one of the major vectors for dispersal of microplastics around the global oceans. In this commentary, a simple, inexpensive solution has been proposed to reduce microplastic pollution and its mobility via ballast water. A screening chamber (with stainless steel three layered mesh) is proposed to be attached to the existing Ballast Water Treatment Systems (BWTSs) in cargo ships to filter back-flushed sea water from BWTSs. The three layered screens (500, 300 and 100 Î¼m) will not only avoid clogging and easy separation of different size groups of microplastic particles but also help in smooth discharge of water to the sea. This technique is expected to remove a large number of microplastic particles (ranging from 0.0015 to 1020 million) from a single voyage. The proposed chamber may help to collect 0.0003â€“204 metric tons of particles/day, depending upon the geographical location of ballast intake in the global ocean. These estimations were made by considering a daily turnover of 0.033 billion tonnes of ballast water globally. This proposed screening chamber attached to the existing BWTSs in cargo ships, along with other region-specific ocean cleaning initiatives, will help in mitigating microplastic pollution in the global ocean. Â© 2021 Elsevier Ltd","Export Date: 13 June 2021 RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""Angelo""=>""Excluded""} | RAYYAN-LABELS: QUE: Title,ANG: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185168371,First evidence of microplastics occurrence in mixed surface and treated wastewater from two major Saudi Arabian cities and assessment of their ecological risk,2021,1,1,Journal of Hazardous Materials,,416,,,"PicÃ³, Y. and Soursou, V. and Alfarhan, A.H. and El-Sheikh, M.A. and BarcelÃ³, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103973679&doi=10.1016%2fj.jhazmat.2021.125747&partnerID=40&md5=7fc2ba47fc22cced8fa9451a624d4762,,,,"In this study, water of the channels and ponds that conduct residual water in two most important cities of Saudi Arabia were assessed to ascertain the influence of the population on the occurrence and pollution characteristics of microplastics (MPs) (> 20 Âµm in size). Riyadh has 7.6 million inhabitants and is an urban city even though also have industry while Al-Jubail has only 0.78 and is the biggest industrial city. MPs showed an average of 3.2 items/L in Riyadh and 0.2 items/L in Al-Jubail showing a statistically significant difference between both cities. Sampling with a Turton Tow Net of 20 Âµm mesh, fibers were dominant in all sites (60%). MPs size was mainly distributed between 80 and 250 Âµm (60%), and their major colors were white (40%), red (25%) and blue (20%). Infrared spectral analysis revealed that most of the selected particles were identified as MPs of polypropylene and polyethylene (48.3%). The risk assessment was carried out using both the hazard index (HI) and the pollution load index (PLI). The results showed that, in this case, the decisive index is the PLI since the main difference in the MPs characteristics between the two cities is their concentration. Â© 2021 Elsevier B.V.","Export Date: 13 June 2021 RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""Angelo""=>""Excluded""} | RAYYAN-LABELS: QUE: Title,ANG: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185168372,Erratum: Potentiation of polycyclic aromatic hydrocarbon uptake in zebrafish embryos by nanoplastics (Environmental Science: Nano (2020) 7 (1730â€“1741) DOI: 10.1039/D0EN00163E),2021,1,1,Environmental Science: Nano,,8,5,1481,"Zhang, Y. and Goss, G.G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106953418&doi=10.1039%2fd1en90014e&partnerID=40&md5=25f7049d135cba6a6ada36ced42ea271,,,,"In the Fig. 2A image, the colour of 14C-phenanthrene + 20 nm and 14C-phenanthrene + 500 nm were switched in error: 14Cphenanthrene + 20 nm group is labelled as the red triangle but it is supposed to be green, and the green dot (14C-phenanthrene + 500 nm) is supposed to be red. The corrected image, caption and sentence are shown below. (Figure Presented). The Royal Society of Chemistry apologises for these errors and any consequent inconvenience to authors and readers. Â© 2021 Environmental Science: Nano. All right reserved.","Export Date: 13 June 2021 RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""Angelo""=>""Excluded""} | RAYYAN-LABELS: ANG: Title,Correction,QUE: Title | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185168373,"Microplastics in freshwater fishes: Occurrence, impacts and future perspectives",2021,1,1,Fish and Fisheries,,22,3,467-488,"Parker, B. and Andreou, D. and Green, I.D. and Britton, J.R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099955257&doi=10.1111%2ffaf.12528&partnerID=40&md5=a3a99eeee3cbf85c78d46972fd54be3a,,,,"Microplastics (MPs) are small, plastic particles of various shapes, sizes and polymers. Although well studied in marine systems, their roles and importance in freshwater environments remain uncertain. Nevertheless, the restricted ranges and variable traits of freshwater fishes result in their communities being important receptors and strong bioindicators of MP pollution. Here, the current knowledge on MPs in freshwater fishes is synthesized, along with the development of recommendations for future research and sample processing. MPs are commonly ingested and passively taken up by numerous freshwater fishes, with ingestion patterns often related to individual traits (e.g. body size, trophic level) and environmental factors (e.g. local urbanization, habitat features). Controlled MP exposure studies highlight various effects on fish physiology, biochemistry and behaviour that are often complex, unpredictable, species-specific and nonlinear in respect of doseâ€“response relationships. Egestion is typically rapid and effective, although particles of a particular shape and/or size may remain, or translocate across the intestinal wall to other organs via the blood. Regarding future studies, there is a need to understand the interactions of MP pollution with other anthropogenic stressors (e.g. warming, eutrophication), with a concomitant requirement to increase the complexity of studies to enable impact assessment at population, community and ecosystem levels, and to determine whether there are consequences for processes, such as parasite transmission, where MPs could vector parasites or increase infection susceptibility. This knowledge will determine the extent to which MP pollution can be considered a major anthropogenic stressor of freshwaters in this era of global environmental change. Â© 2021 The Authors. Fish and Fisheries published by John Wiley & Sons Ltd.","Cited By :3 RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""Angelo""=>""Excluded""} | RAYYAN-LABELS: ANG: Abstract,QUE: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185168374,Biofilms of Pseudomonas and Lysinibacillus Marine Strains on High-Density Polyethylene,2021,1,1,Microbial Ecology,,81,4,833-846,"Oliveira, M.M. and Proenca, A.M. and Moreira-Silva, E. and de Castro, A.M. and dos Santos, F.M. and Marconatto, L. and Medina-Silva, R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098646503&doi=10.1007%2fs00248-020-01666-8&partnerID=40&md5=25b289814bb79f8c776c3c5626746656,,,,"Environmental pollution by plastic debris is estimated on a scale of 100 million metric tons, a portion of which is fragmented into micro- and nanoplastics. These fragments are often colonized by bacterial species in marine environments, possibly contributing to the biodegradation of such materials. However, further investigations are necessary to determine the impact of abiotic polymer weathering on biofilm adhesion, as well as the specific biofilm formation strategies employed by marine isolates. Here, we evaluate deep-sea sediment bacterial isolates for biofilm adhesion, extracellular matrix production, and polymer degradation ability. Our study focuses on high-density polyethylene (HDPE) fragments for their high durability and environmental persistence, subjecting fragments to abiotic weathering prior to bacterial colonization. Marine isolates identified as Pseudomonas sp. and Lysinibacillus sp. exhibited decreasing biofilm formation on weathered HDPE, especially over the first 24Â h of incubation. This effect was countered by increased extracellular matrix production, likely improving cell adhesion to surfaces roughened by abiotic degradation. These adhesion strategies were contrasted with a reference Pseudomonas aeruginosa strain, which displayed high levels of biofilm formation on non-weathered HDPE and lower extracellular matrix production over the first 24Â h of incubation. Furthermore, our results suggest that an increase in biofilm biomass correlated with changes to HDPE structure, indicating that these strains have a potential for biodegradation of plastic fragments. Therefore, this work provides a detailed account of biofilm formation strategies and bacteria-plastic interactions that represent crucial steps in the biodegradation of plastic fragments in marine environments. Â© 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.","Cited By :1 RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""Angelo""=>""Excluded""} | RAYYAN-LABELS: ANG: Abstract,QUE: Abstract | RAYYAN-EXCLUSION-REASONS: 2 - Population",,
rayyan-185168375,"Cuttlefish (Sepia pharaonis ehrenberg, 1831) as a bioindicator of microplastic pollution",2021,1,1,AACL Bioflux,,14,2,918-930,"Mardiansyah and Prasetyo, D. and Putri, L.S.E.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106045600&partnerID=40&md5=7702324734254858cc30e76a0d34841d,,,,"Microplastics (MPs) have recently become a significant issue in ocean pollution, threatening food safety and human health. Sepia pharaonis or cuttlefish is one of the marine commodities consumed by humans requiring further analysis to determine whether or not they are contaminated by microplastics to evaluate their potential use as bioindicators. The abundance and characteristics (shape, size, and colour) of MPs were observed in the outer body, gills, intestines, and the correlations between MPs and total body length, mantle length, age, and sex were analysed. All samples were collected from the fish market surrounding the Fish Auction Market at Muara Angke Port, North Jakarta, Indonesia. MPs particles were found in the outer body and gills (226/mL) and the intestines (208/mL), with fibre, fragment, and film shapes, a size range of &lt; 0.25 to 2.0 mm, and colours including black, transparent, blue, green, red, and yellow. The total MPs did not correlate (tcount 1.401 &lt; ttable 2.145) with the total body length, and there was also no difference in MPs between mantle length/age classes (p&gt;0.05). Female cuttlefish had higher levels of MPs than males. All cuttlefish samples were contaminated with MPs. However, there is no evidence yet as to whether the MPs will cause the cuttlefish to die or become harmful to human health, and further studies are needed on these potential impacts. Â© 2021, BIOFLUX SRL. All rights reserved.","Export Date: 13 June 2021 RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""Angelo""=>""Excluded""} | RAYYAN-LABELS: ANG: Abstract,QUE: Abstract | RAYYAN-EXCLUSION-REASONS: 2 - Population,1 - Type of study",,
rayyan-185168376,"Microplastics in marine fishes of economic importance in Lima, Peru",2021,1,1,Revista de Investigaciones Veterinarias del Peru,,32,2,,"Iannacone, J. and Principe, F. and Minaya, D. and Panduro, G. and Carhuapoma, M. and AlvariÃ±o, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105642927&doi=10.15381%2frivep.v32i2.20038&partnerID=40&md5=e3df3267f999a4f9821a610c2961c61e,,,,"The microplastics (PM) present in five fish species of economic importance in Peru were evaluated: Sciaena deliciosa (Tschudi, 1846) (Sciaenidae) Â«Lorna drumÂ», Isacia conceptionis (Cuvier, 1830) (Haemulidae) Â«Cabinza gruntÂ», Scartichthys gigas (Steindachner, 1876) (Blenniidae) Â«Giant blennyÂ», Mugil cephalus (Linnaeus, 1758) (Mugilidae) Â«flathead grey mulletÂ» and Scomber japonicus (Houttuyn, 1782) (Scombridae) Â«Chub mackerelÂ». The stomach and gill contents of each fish were digested with 10% KOH, followed by a filtration process to search for PM. The MPs were classified by color and by shape. The contamination by PM found in the digestive tract of S. gigas presented higher values than those found in the other four species. No differences were observed in the amount of MP recorded in the gills between species. A positive correlation was only observed between the body length of I. conceptionis and MP of the digestive tract/ fish, and between the weight of M. cephalus and MP of the digestive tract/fish. Blue, black and white were the dominant colours of MP in the digestive tract, and blue, black and fuchsia in gills. At the level of the digestive tract, the types of PM were fibre, fragments and film and in gills only fibres were found. Â© 2021 Universidad Nacional Mayor de San Marcos. All rights reserved.","Export Date: 13 June 2021 RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""Angelo""=>""Excluded""} | RAYYAN-LABELS: ANG: Abstract,QUE: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185168377,"Evidences of microplastics in diverse fish species off the Western Coast of Pacific Ocean, Mexico",2021,1,1,Ocean and Coastal Management,,204,,,"Jonathan, M.P. and Sujitha, S.B. and Rodriguez-Gonzalez, F. and Campos Villegas, L.E. and HernÃ¡ndez-Camacho, C.J. and Sarkar, S.K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100405169&doi=10.1016%2fj.ocecoaman.2021.105544&partnerID=40&md5=0458f241475cb3014eca569721f0089e,,,,"We examined the presence of microplastics (MPs) in the gut contents of six fish species (Calamus brachysomus, Paralabrax maculatofasciatus, Eucinostomus dowii, Balistes polylepis, Achirus mazatlanus and Mugil curema) procured from Magdalena bay, Pacific Coast, Mexico. A total of 64 MPs were extracted from 87 individual samples, amongst which E. dowii (30 particles) and P. maculatofasciatus (27 particles) species presented the highest number of MPs. Of these, the majority of the MPs were fibrous filaments mainly of size 100 Î¼m. The colour distribution was white-transparent (43%) and blue (36%). SEM imaging revealed the impact of mechanical weathering and disintegration through the presence of angular and irregular edges in the fibers. Likewise, strong carbon and oxygen peaks in the EDX spectra verified the fibers to be plastics. Differences in the ingestion of MPs among species are mainly due to species-specific physiognomies, habitat, feeding strategies and the availability of plastics. The present study contributes with a baseline data and a first assessment of microplastics debris ingested by fishes of Magdalena bay, Mexico. Â© 2021 Elsevier Ltd","Cited By :3 RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""Angelo""=>""Excluded""} | RAYYAN-LABELS: ANG: Abstract,QUE: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185168378,The effect of microplastics on the growth of Paralichthys Olivaceus,2021,1,1,,,251,,,"Lu, H. and Liu, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104587362&doi=10.1051%2fe3sconf%2f202125102040&partnerID=40&md5=7619bc0a787590c79349ff6f0357281b,,,,"In recent years, microplastics (MPs) pollution have become a global environmental issue, which aroused concern about their potential toxicity to marine organisms. However, due to the gradual depletion of natural resources, it had been rapidly developed in aquaculture. Therefore, this article studied the effect of polystyrene (PE) on the growth of Paralichthys Olivaceus. The surface of PE was rough and average size was 197.3 Â± 11.2 Î¼m. The contact angle of PE was 100.3 Â± 2.5 Â°, which indicated that PE had a hydrophobic surface. PE exposure had no significant effect on the body length growth of fish, but compared with CK treatment, the weight growth of fish in PE treatment group was slower, which increased by 36.3% on the 28th day, but only increased by 10.9% in PE treatment group, indicating that PE could inhibit the growth of fish. PE led to the decrease of oxygen consumption rate of fish. On the 7th, 21st and 28th day, the oxygen consumption rate of fish decreased by 7.9%, 25.4% and 41.1%, respectively. Based on the above results, we concluded that marine MPs could inhibit the growth of the benthic economic fish, which would disturb the balance of the marine ecosystem. Â© The Authors, published by EDP Sciences, 2021.","Export Date: 13 June 2021 RAYYAN-INCLUSION: {""Querusche""=>""Maybe"", ""Angelo""=>""Maybe""}",,
