key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-185167842,Disposable masks release microplastics to the aqueous environment with exacerbation by natural weathering,2021,1,1,Journal of Hazardous Materials,,417,,,"Wang, Z. and An, C. and Chen, X. and Lee, K. and Zhang, B. and Feng, Q.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106219019&doi=10.1016%2fj.jhazmat.2021.126036&partnerID=40&md5=a235adcdbf68897d0638757602429fb0,,,,"The COVID-19 pandemic has driven explosive growth in the use of masks has resulted in many issues related to the disposal and management of waste masks. As improperly disposed masks enter the ocean, the risk to the marine ecological system is further aggravated, especially in the shoreline environment. The objective of this study is to explore the changing characteristics and environmental behaviors of disposable masks when exposed to the shoreline environment. The transformation of chain structure and chemical composition of masks as well as the decreased mechanical strength of masks after UV weathering were observed. The melt-blown cloth in the middle layer of masks was found to be particularly sensitive to UV irradiation. A single weathered mask can release more than 1.5 million microplastics to the aqueous environment. The physical abrasion caused by sand further exacerbated the release of microplastic particles from masks, with more than 16 million particles released from just one weathered mask in the presence of sand. The study results indicate that shorelines are not only the main receptor of discarded masks from oceans and lands, but also play host to further transformation of masks to plastic particles. Â© 2021","Export Date: 13 June 2021 | RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""elisa.calcagnotto""=>""Excluded""} | RAYYAN-LABELS: QUE: Title,MEC: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185167843,Treatment-level impacts of microplastic exposure may be confounded by variation in individual-level responses in juvenile fish,2021,1,1,Journal of Hazardous Materials,,416,,,"Nanninga, G.B. and Pertzelan, A. and Kiflawi, M. and Holzman, R. and Plakolm, I. and Manica, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106941094&doi=10.1016%2fj.jhazmat.2021.126059&partnerID=40&md5=39bf4bda11c7d2c027daae7355be7d05,,,,"Microplastic (MP) pollution is a key global environmental issue and laboratory exposure studies on aquatic biota are proliferating at an exponential rate. However, most research is limited to treatment-level effects, ignoring that there may be substantial within-population variation in responses to anthropogenic stressors. MP exposure experiments often reveal considerable, yet largely overlooked, inter-individual variation in particle uptake within concentration treatments. Here, we investigated to what degree treatment-level responses to MP exposure may be affected by variation in MP ingestion rates in the early life stages of a marine fish, the Gilt-head seabream, Sparus aurata. First, we tested whether MP ingestion variation is repeatable. Second, we assessed to what degree this variation may determine individual-level effects of MP exposure on fitness-related behavioural performance (i.e., escape response). We found that consistent inter-individual variation in MP ingestion was prevalent and led to differential impacts within exposure treatments. Individuals with high MP ingestion rates exhibited markedly inferior escape responses, a result that was partially concealed in treatment-level analyses. Our findings show that the measured response of populations to environmental perturbations could be confounded by variation in individual-level responses and that the explicit integration of MP ingestion variation can reveal cryptic patterns during exposure experiments. Â© 2021 The Authors","Export Date: 13 June 2021 | RAYYAN-INCLUSION: {""Querusche""=>""Included"", ""elisa.calcagnotto""=>""Included""} | RAYYAN-LABELS: QUE: Fulltext",,
rayyan-185167844,Historic fish samples from the Southeast USA lack microplastics,2021,1,1,Science of the Total Environment,,776,,,"Toner, K. and Midway, S.R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101734548&doi=10.1016%2fj.scitotenv.2021.145923&partnerID=40&md5=abf9daf8d824e2a4f9b26e842202c378,,,,"Most of earth's systems and the organisms that inhabit them are known to contain microplastics, which are well documented to have lethal and sublethal effects on living things. Due to their generally short timeframe and recent focus, contemporary studies of microplastics in fish are unable to inform past patterns of microplastic ingestion, and as such there is a knowledge gap regarding when microplastics began showing up in fishes. We examined n = 185 historical (museum) fish samples representing seven species from five freshwater systems across 51 years in order to look for microplastic samples over time. We found only three microplastic particles, two of which were in the more recent years of collection (1996 and 2006). Although our results are not conclusive toward understanding the true nature of microplastic occurrence over time in fishes, our findings present strong evidence that southeast U.S. stream fish likely did not ingest large numbers of microplastics during the 20th century. Â© 2021","Export Date: 13 June 2021 | RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""elisa.calcagnotto""=>""Excluded""} | RAYYAN-LABELS: MEC: Abstract,QUE: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185167845,The concentration of microplastic in water and fish (Gambusia affinis) collected from Brantas River,2021,1,1,,,2353,,,"Buwono, N.R. and Risjani, Y. and Soegianto, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107279672&doi=10.1063%2f5.0052947&partnerID=40&md5=fec02a548ef21fc60ed81cd80073a562,,,,"The Brantas River is a freshwater river that flows in the area of Malang. The current quality of the Brantas River has decreased due to microplastic contamination. Microplastic has dynamic properties and high flexibility accumulating in the waters and organisms. The purpose of the study was to determine the type and abundance of microplastic in water and Gambusia affinis fish in the Brantas River Malang area. This study employed a survey method and sampling which was carried out in five different locations based on land used. The identification of microplastics used NOAA Technical Memorandum NOS-OR&R-48 as the standard method. Two-way ANOVA analysis was used to determine the differences in the abundance of microplastics in water and fish at different stations. The average abundance of microplastic in water samples is equal to 5593.33 Â± 1137.35 particles/m3 and in gambusia fish samples is 3.09 Â± 0.29 particles/individual. Microplastic in the water samples was dominated by fragments type, while fibers type had mainly founded in gambusia fish samples. The result of the abundance of microplastic of water samples and fish samples was different at each station was influenced by their respective land uses. Â© 2021 Author(s).","Export Date: 13 June 2021 | RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""elisa.calcagnotto""=>""Excluded""} | RAYYAN-LABELS: QUE: Title,MEC: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185167846,The Evidence of Microplastic Contamination in Central Javanese Local Ducks from Intensive Animal Husbandry,2021,1,1,"Water, Air, and Soil Pollution",,232,5,,"Susanti, R. and Yuniastuti, A. and Fibriana, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104675441&doi=10.1007%2fs11270-021-05142-y&partnerID=40&md5=b086f8c9fe95f8cf461ba779fa590271,,,,"Plastic debris sized from 0.33 to 5 mm or so-called microplastic is an abundant environmental pollutant found worldwide in various ecosystems. The contamination has been threatening animals such as fish, wild birds, domesticated poultry, and waterfowls. This preliminary research aimed to reveal the evidence of microplastic contamination in domesticated duck to prove that plastic contamination has spread massively and depicts how far the local duck ingests microplastic. Total 25 duck samples were collected from local duck intensive husbandry in five cities, i.e., Semarang and Pati (coastal area), Salatiga (lowland area), and Temanggung and Magelang (highland area). Duck intestinal tract samples were collected and were further digested using 10 N KOH at 60â€“80 Â°C for 24 h. The mixture was then collected into vial tubes and was centrifuged to get the pellet. The microplastic identification was conducted using a stereo microscope based on its size and shape. Based on the observation result, microplastic debris in the form of the filament was 49, 39, and 27 per individual in the duck sample from Salatiga, Semarang, and Magelang, respectively. The ingestion of plastic may come from duck feed, such as rough fish (mainly were obtained from the Java Sea) and water. This finding is essential to disseminate since microplastic contamination can be transferred from animals to humans and threaten health. Also, this result can contribute to policymakers deciding on plastic reduction. Â© 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Export Date: 13 June 2021 | RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""elisa.calcagnotto""=>""Excluded""} | RAYYAN-LABELS: QUE: Title,MEC: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185167847,Quantitative evaluation of non-active land input of microplastics: A case of PET polymer,2021,1,1,Kexue Tongbao/Chinese Science Bulletin,,66,13,1563-1570,"Zhang, J. and Dong, P. and Zhang, Y. and Tian, Y. and Liu, C. and Sun, H. and Wang, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106358623&doi=10.1360%2fTB-2020-0694&partnerID=40&md5=fc214fdd21a62634a22027210cb9687c,,,,"Microplastics (MPs) are plastics with size less than 5 mm. In recent years, microplastics have attracted more attention due to their ubiquitous environmental distribution, especially in water environment. Little is known about the pollution of microplastics in the terrestrial environment, especially in areas where there is no active input of MPs. It has been documented that MPs are widely detected in atmospheric dustfall and sewage sludge. However, there are few studies on the input fluxes of MPs to terrestrial environment, such as dust deposition and land-application of sludge. Polyethylene terephthalate (PET) is a thermally stable and chemically inert polyester and can be used to produce polyester fabrics, beverage bottles, plastic films, etc. PET accounts for one-third of total plastics in China, with an annual consumption of 37.5 million tons. In this study, we optimized an alkali-assisted chemical depolymerization method coupled with liquid chromatographymass spectrometry to detect PET polymers in the environmental samples. The limits of quantification for PET MPs in atmospheric dustfall and sewage sludge were 195 ng (per 50 mg dustfall) and 180 ng (per 100 mg sludge), respectively. The method was applied to quantify PET polymers in atmospheric dustfall and sewage sludge samples collected in Tianjin, China. The results showed that PET could be detected in all dustfall samples with concentrations ranging from 776 to 5399 Î¼g/g. The input fluxes of PET MPs via dust deposition were calculated as 100-586 Î¼g m-2 d-1 in Tianjin. Additionally, region- and season-related fluxes were estimated. High deposition fluxes were observed in the upper and lower directions of the prevailing wind in Tianjin. There was a significant difference in the deposition flux of PET polymers between dry season and rainy season. The annual settlement of PET MPs in Tianjin was estimated to be 4.8-28 t. The concentrations of PET polymers in sewage sludge were 296-519 Î¼g/g. The laundry water of polyester fabric clothing may be the main source of PET polymer in sewage treatment system. The total amounts of PET MPs discharged with sludge were calculated to be 186-326 t/a in Tianjin and 2370-4150 t/a in China. This accounts for roughly 0.006%- 0.011% of its total annual consumption in China. Assuming that 15% of the sewage sludge is applied as fertilizer, the estimated annual input of PET MPs to farmland is 28-49 t in Tianjin and 356-622 t in China. Besides, concentrations of PET polymers were found as high as 73-944 Î¼g/g in the mineralized garbage soil from a landfill. This indicates an estimated input of ~20000 tons of PET MPs to terrestrial environment, through the utilization of mineralized garbage soil for municipal application. Atmospheric deposition is an important way for microplastics to enter the terrestrial environment, and the spatial and temporal distribution of the input flux is relatively uniform. The utilization of sludge and mineralized garbage soil may lead to the intensive investment of microplastics in farmland and urban environment, and its ecological risk is worthy of attention. Â© 2021, Science Press. All right reserved.","Cited By :1 | RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""elisa.calcagnotto""=>""Excluded""} | RAYYAN-LABELS: MEC: Abstract,QUE: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185167848,"Source and risk assessment of heavy metals and microplastics in bivalves and coastal sediments of the Northern Persian Gulf, Hormogzan Province",2021,1,1,Environmental Research,,196,,,"Jahromi, F.A. and Keshavarzi, B. and Moore, F. and Abbasi, S. and Busquets, R. and Hooda, P.S. and Jaafarzadeh, N.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102081056&doi=10.1016%2fj.envres.2021.110963&partnerID=40&md5=6116b672775c5a9e5133b9897eaf678b,,,,"The objectives of the current study are to investigate the concentration, biological risks, chemical speciation, and mobility of of heavy metals and also the determination of their distribution, physicochemical characteristics, and abundance of microplastics in coastal sediments and edible bivalves in the Persian Gulf, the coastal area of Hormozgan Province. Sampling points were selected considering the location of industrial, urban and Hara forest protected areas. In November 2017, a total of 18 sediment samples from coastal sediments (top 0â€“10 cm) and the most consumed bivalve species in the region were collected from two stations, Lengeh and Bandar Abbas Ports. The average concentration of heavy metals (except for Ni and Cd) in the sediments were lower than their average shale and the upper continental crust. Enrichment factors revealed significant enrichment of Ni, Mn, Cr, Cd and As. The fractionation of heavy metals using the Community Bureau of Reference (BCR) sequential extraction scheme indicated the high bioavailability of Zn, As, Mn, and Co. In general, the highest concentration of Mo, Cd, Pb, Zn, Cr, Cu, Mn, Hg, and Sb was detected in areas with frequent human activities including Shahid Rajaee Port, Shahid Bahonar Port, and Tavanir station. Shahid Rajaee and Shahid Bahonar Ports are the most important ports on the coast of Hormozgan province. The Risk Assessment Code calculated for the study elements indicates that As, Co, Zn, and Cu pose a moderate environmental risk a threat to the aquatic biota. Health risks of most heavy metals arising from bivalves consumption were safe, except for As which is associated with the high target cancer risk values. With reference to the type of microplastics found, they were mainly fibeours with lengths ranging between 100 and 250 Î¼m in sediments and bivalves. Most of the microfibers found in the sediments were made of polyethylene terephthalate (PET) and polypropylene (PP), and the fibers found in the bivalves were made of PP. Â© 2021","Cited By :1 | RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""elisa.calcagnotto""=>""Excluded""} | RAYYAN-LABELS: QUE: Title,MEC: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
rayyan-185167849,PEGylated Terbium-Based Nanorods as Multimodal Bioimaging Contrast Agents,2021,1,1,ACS Applied Nano Materials,,4,4,4199-4207,"Caro, C. and Paez-MuÃ±oz, J.M. and BeltrÃ¡n, A.M. and Pernia Leal, M. and GarcÃ­a-MartÃ­n, M.L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103786896&doi=10.1021%2facsanm.1c00569&partnerID=40&md5=3358c7c873b622013bd83c726b50e3d5,,,,"Diagnostic imaging strongly relies on the use of contrast agents (CAs). In general terms, current CAs present undesirable side effects that encourage researchers and pharmaceutical companies to continually search for safer and more versatile alternatives. Here, we describe the synthesis and characterization of terbium-based nanorods (TbNRs) as a potential alternative to traditional CAs for magnetic resonance imaging (MRI) and X-ray computed tomography (CT). The paramagnetism and high atomic number of Tb provide TbNRs with both magnetic relaxivity and X-ray attenuation capabilities. After surface functionalization with a polyethylene glycol (PEG)-derived ligand, TbNRs showed high colloidal stability in physiological media. Additionally, toxicity studies conducted in cell cultures and zebrafish embryos demonstrated the safety of the as-synthesized TbNRs, thus supporting their potential use as CAs. Lastly, in vivo imaging experiments in mice demonstrated that TbNRs produce remarkable contrast enhancement on both MRI and CT. Â© 2021 American Chemical Society.","Cited By :1 | RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""elisa.calcagnotto""=>""Excluded""} | RAYYAN-LABELS: MEC: Abstract,QUE: Abstract | RAYYAN-EXCLUSION-REASONS: 3 - Intervention,1 - Type of study",,
rayyan-185167850,Penetration of Microplastics (Polyethylene) to Several Organs of Nile Tilapia (Oreochromis niloticus),2021,1,1,,,715,1,,"Aryani, D. and Khalifa, M.A. and Herjayanto, M. and Solahudin, E.A. and Rizki, E.M. and Halwatiyah, W. and Istiqomah, H. and Maharani, S.H. and Wahyudin, H. and Pratama, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104195111&doi=10.1088%2f1755-1315%2f715%2f1%2f012061&partnerID=40&md5=11cafc4bc4b1d0d70bb5bbc38d8a26e9,,,,"Microplastics are a severe problem in several countries. Microplastics spread throughout the ecosystem both on aquatic and terrestrial. Those are very difficult to overcome as well as have an impact on the environment and affect food safety. This study aimed to know the penetration of microplastics into several organs in Nile tilapia. The experiment was conducted by given 30 grams of microplastic (a type of polyethylene scrub) into an aquarium (15 L) containing five fish (consumption size) for seven days. The results showed that microplastic penetration occurred in the blood, gills, gonads, intestines, liver, muscles, and stomach. These results explain that during a week of rearing, the fish have been exposed to microplastics. It was very dangerous for human health issues if consumed. Â© Published under licence by IOP Publishing Ltd.","Export Date: 13 June 2021 | RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""elisa.calcagnotto""=>""Excluded""} | RAYYAN-LABELS: MEC: Fulltext,QUE: Fulltext | RAYYAN-EXCLUSION-REASONS: 4 - Control,1 - Type of study",,
rayyan-185167851,"The need to investigate continuums of plastic particle diversity, brackish environments and trophic transfer to assess the risk of micro and nanoplastics on aquatic organisms",2021,1,1,Environmental Pollution,,273,,,"Latchere, O. and Audroin, T. and HÃ©tier, J. and MÃ©tais, I. and ChÃ¢tel, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099343027&doi=10.1016%2fj.envpol.2021.116449&partnerID=40&md5=02fa98d1774fb72acfce3e354b33aa56,,,,"Plastic particles are ubiquitous in marine and freshwater environments. While many studies have focused on the toxicity of microplastics (MPs) and nanoplastics (NPs) in aquatic environments there is no clear conclusion on their environmental risk, which can be attributed to a lack of standardization of protocols for in situ sampling, laboratory experiments and analyzes. There are also far more studies concerning marine environments than fresh or brackish waters despite their role in the transfer of plastics from continents to oceansWe systematically reviewed the literature for studies: (1) using plastics representative of those found in the environment in laboratory experiments, (2) on the contamination of plastic particles in the continuum between fresh and marine waters, focusing in particular on estuaries and (3) on the continuum of contamination of plastic particles between species through trophic transfer in aquatic environments. We found that the exposure of aquatic organisms in the laboratory to plastic particles collected in the environment are very scarce. Moreover, plastic exposures of estuarine species in the laboratory are generally carried out for a single salinity and a single temperature that do not reflect the fluctuating environmental conditions of estuaries. Finally, the trophic transfer of plastic particles is mainly studied in the laboratory through simple food chains which are not representative of the complexity of the trophic networks observed in the aquatic environment. We pointed out that future studies in the laboratory should include both MPs and NPs sampled in the environment and focus on the precise characterization of the composition and surface of these plastics as well as on their absorbed pollutants, additives or biofilms. Moreover, investigations must be continued concerning the toxicity of plastic particles in brackish water environments such as estuaries and the trophic transfer of plastic particles in complex food chains. Â© 2021 Elsevier Ltd     This paper presents the current state of knowledge on the environmental representativeness of plastic particles used in laboratory experiments, contamination in estuaries and trophic transfer. Â© 2021 Elsevier Ltd","Export Date: 13 June 2021 | RAYYAN-INCLUSION: {""Querusche""=>""Excluded"", ""elisa.calcagnotto""=>""Excluded""} | RAYYAN-LABELS: MEC: Abstract,QUE: Abstract | RAYYAN-EXCLUSION-REASONS: 1 - Type of study",,
