id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
1	"abelli, luigi"	-0.4096	0.8989	21	7	11	2	2020
2	"akemann, camille"	0.3111	0.6953	12	9	9	1	2020
3	"allan, bridie j. m."	0.4842	-0.1238	4	9	9	1	2020
4	"alomar, carme"	-0.0659	0.0022	13	9	9	1	2021
5	"alvarez, tenilce gabriela da silva"	-0.0066	0.5575	2	9	9	1	2021
6	"amadi-eke, akunna"	0.7875	-0.6534	26	5	5	1	2020
7	"an, youn-joo"	0.4319	0.9319	42	3	3	1	2018
8	"andresen, thomas l"	-0.6079	0.2421	5	6	6	1	2017
9	"arechavala-lopez, pablo"	-0.1033	0.0262	13	9	9	1	2021
10	"audira, gilbert"	0.2891	-0.4703	16	8	8	1	2020
11	"avwemoya, fred"	0.7912	-0.7094	26	5	5	1	2020
12	"ašmonaitė, giedrė"	-0.64	0.3225	5	11	11	2	2018.5
13	"bach, lis"	0.2353	-1.0407	31	5	5	1	2018
14	"backhaus, thomas"	-0.6503	0.4103	5	5	5	1	2020
15	"baker, bridget b."	0.3446	0.6112	12	9	9	1	2020
16	"baker, tracie r."	0.281	0.6356	12	9	9	1	2020
17	"baran, alper"	-0.3562	0.4401	32	5	5	1	2020
18	"barboza, luís gabriel antão"	-0.6983	0.7021	6	6	8	2	2018
19	"baruah, kartik"	0.512	-0.9241	29	6	6	1	2020
20	"batel, annika"	0.1206	0.1276	1	6	6	1	2019
21	"batista guimarães, abraão tiago"	-0.2539	0.683	2	6	6	1	2021
22	"baun, anders"	-0.6656	0.2384	5	6	6	1	2017
23	"beiras, ricardo"	0.1261	0.2137	1	9	9	1	2020
24	"bellas, juan"	-0.4099	-0.118	25	7	16	3	2020.6667
25	"benkhalqui, assja"	-0.4492	0.9571	21	6	6	1	2019
26	"bertolucci, cristiano"	-0.4487	0.9186	21	6	6	1	2019
27	"besson, marc"	0.7276	-0.4252	36	5	5	1	2019
28	"bhattacharjee, monojit"	-0.1142	1.0098	38	4	4	1	2021
29	"bikiaris, dimitrios n."	-0.6824	-0.1333	7	11	11	1	2021
30	"binelli, andrea"	-0.0348	-0.546	27	6	11	2	2020
31	"blanc, mélanie"	0.2766	0.1301	1	12	12	1	2021
32	"blandford, makeely i."	0.3845	-0.1337	4	9	9	1	2020
33	"bo, jun"	-0.9275	0.0827	8	11	11	1	2021
34	"bobori, dimitra c."	-0.6662	-0.0231	7	11	11	1	2021
35	"bour, agathe"	-0.731	0.3029	5	3	3	1	2020
36	"branco, vasco"	-0.738	0.6989	6	6	6	1	2018
37	"braunbeck, thomas"	0.1501	0.0954	1	6	6	1	2019
38	"browne, mark a."	-0.2267	-0.7055	17	8	8	1	2017
39	"brun, nadja r."	0.7873	-0.058	23	7	7	1	2019
40	"bueno dos reis martinez, claudia"	-0.8473	-0.6477	41	3	3	1	2020
41	"burmester, janne k. y."	0.5162	0.381	9	7	7	1	2020
42	"bégout, marie-laure"	0.1864	0.1941	1	16	27	3	2020
43	"cabar, mathieu"	0.2764	0.18	1	12	12	1	2021
44	"cabecinha, edna"	-0.4066	-0.1659	25	6	6	1	2020
45	"cachot, jérôme"	0.1701	0.2514	1	23	40	5	2019.8
46	"caliani, ilaria"	-0.3438	0.9386	21	5	5	1	2021
47	"campos, diana"	0.1719	-0.7643	10	10	10	1	2021
48	"candeias-mendes, ana"	0.2304	-0.7937	10	10	10	1	2021
49	"caorsi, g."	0.0459	-0.5225	27	6	6	1	2021
50	"carney almroth, bethanie"	-0.6986	0.3526	5	8	8	2	2020
51	"carvalho, cristina"	-0.7347	0.7351	6	6	6	1	2018
52	"carvalho, felix"	-0.6554	0.7245	6	9	10	2	2017
53	"castanho, sara"	0.2442	-0.7524	10	10	10	1	2021
54	"cedervall, tommy"	0.948	0.4476	19	8	14	3	2014.6667
55	"ceyhun, saltuk buğrahan"	-0.3851	0.4613	32	5	5	1	2020
56	"chae, yooeun"	0.4474	0.9528	42	3	3	1	2018
57	"chagas, thales quintão"	-0.1004	0.6139	2	13	15	2	2021
58	"chan, king ming"	-0.9611	0.4852	43	2	2	1	2019
59	"chapelle, coline"	0.0971	0.3545	1	5	5	1	2019
60	"charlie-silva, ives"	-0.0321	0.5847	2	9	9	1	2021
61	"chen, bijuan"	-0.973	-0.2925	20	8	9	2	2018.5
62	"chen, jung-ren"	0.2303	-0.4029	16	8	8	1	2020
63	"chen, kelvin h.-c."	0.256	-0.4244	16	8	8	1	2020
64	"chen, lingxin"	0.6307	0.818	33	5	5	1	2020
65	"chen, mengyun"	-0.9915	0.1051	8	11	11	1	2021
66	"chen, mingliang"	-0.9559	0.1426	8	11	11	1	2021
67	"chen, qiqing"	0.1024	-0.1651	11	10	11	2	2018.5
